0,1197,0,0,1,0,0.0
2477.9509624724,97,1,0,0,0,0.0
63635.42324599,297,0,0,0,46.153846153846,287.365489423
6625.5830753578,18,0,0,0,0,0.0
11880.260685501,60,0,0,0,0,27.5942307714
2415.3812554206,11,0,0,0,0,0.0
695.11509838299,545,0,0,1,33.333333333333,0.0
6334.9011764885,213,1,0,0,0,0.0
6840.7803696743,227,1,0,0,0,0.0
0,188,0,0,1,0,0.0
3195.2918731262,118,0,0,0,33.333333333333,0.0
40283.313403115,107,0,0,0,0,194.830136017
19637.937746983,148,0,0,0,0,0.0
94395.270272689,42,0,0,0,0,207.161352787
3124.1240457447,197,1,1,0,33.333333333333,0.0
0,345,0,0,1,0,0.0
5416.9959128424,28,0,0,0,0,0.0
47412.571944929,75,0,0,0,0,191.91195236
2752.1760879147,226,1,0,1,0,0.0
0,259,0,0,1,0,0.0
9152.3943841103,245,1,0,0,0,0.0
0,195,0,0,1,0,0.0
16552.33488573,78,0,0,0,0,0.0
7471.4914340016,159,0,0,0,33.333333333333,43.6139818234
0,987,0.5,0,1,0,0.0
1970.9433956223,94,1,0,0,0,0.0
152920.42353983,4508,0,0,0,33.333333333333,280.142892377
5085.266396931,13,0,0,0,0,0.0
157321.53154701,216,0,0,0,0,237.125018315
2474.5419672513,48,0,0,0,0,0.0
0,519,0,0,1,40,0.0
5437.8879095885,169,1,0,0,0,0.0
0,502,0,0,1,0,0.0
2315.1319001436,109,1,0,0,0,0.0
65395.413562131,324,0,0,0,0,277.026295018
5098.681110806,18,0,0,0,0,0.0
3722.8150995583,142,1,0,0,0,0.0
0,102,0,0,1,0,0.0
5500.1032860741,84,0,0,0,0,0.0
86145.284873878,81,0,0,0,0,25.1369317569
